Date,Home-team,Goals,Away-team
24-05-2024,DC United,1 - 1,Chicago Fire
28-05-2024,Montreal Impact,4 - 2,DC United
31-05-2024,DC United,2 - 2,Toronto
14-06-2024,Charlotte,1 - 0,DC United
18-06-2024,DC United,0 - 1,Atlanta United
21-06-2024,DC United,1 - 4,Houston Dynamo
28-06-2024,New York RB,2 - 2,DC United
02-07-2024,DC United,2 - 3,Cincinnati
05-07-2024,Orlando City SC,5 - 0,DC United
12-07-2024,DC United,2 - 1,Nashville SC (MLS)
17-07-2024,Minnesota United,2 - 3,DC United
23-08-2024,DC United,3 - 4,Dallas
30-08-2024,Toronto,1 - 3,DC United
07-09-2024,Chicago Fire,1 - 2,DC United
13-09-2024,DC United,1 - 1,New York City
21-09-2024,Philadelphia Union,4 - 0,DC United
27-09-2024,DC United,2 - 2,Columbus Crew
02-10-2024,Nashville SC (MLS),3 - 4,DC United
04-10-2024,New England,1 - 2,DC United
18-10-2024,DC United,0 - 3,Charlotte
24-02-2024,Dallas,2 - 1,SJ Earthquakes
02-03-2024,Dallas,1 - 2,Montreal Impact
09-03-2024,New York RB,2 - 1,Dallas
16-03-2024,Dallas,1 - 3,Vancouver Whitecaps
30-03-2024,Austin,2 - 1,Dallas
06-04-2024,Saint Louis City,0 - 0,Dallas
13-04-2024,Dallas,0 - 0,Seattle Sounders FC
20-04-2024,Colorado Rapids,2 - 1,Dallas
27-04-2024,Dallas,2 - 0,Houston Dynamo
03-05-2024,Toronto,3 - 1,Dallas
11-05-2024,Dallas,2 - 1,Austin
18-05-2024,Houston Dynamo,1 - 1,Dallas
25-05-2024,Dallas,3 - 3,Real Salt Lake
29-05-2024,LA Galaxy,3 - 1,Dallas
01-06-2024,Los Angeles FC,1 - 0,Dallas
08-06-2024,Minnesota United,1 - 1,Dallas
15-06-2024,Dallas,2 - 0,Saint Louis City
19-06-2024,Dallas,5 - 3,Minnesota United
22-06-2024,Seattle Sounders FC,3 - 2,Dallas
29-06-2024,Dallas,0 - 1,Cincinnati
04-07-2024,Dallas,3 - 2,Portland Timbers
07-07-2024,Sporting KC,3 - 2,Dallas
13-07-2024,Dallas,2 - 0,LA Galaxy
17-07-2024,Dallas,3 - 1,Austin
19-07-2024,New England,1 - 1,Dallas
23-08-2024,DC United,3 - 4,Dallas
31-08-2024,Dallas,2 - 3,Colorado Rapids
07-09-2024,Vancouver Whitecaps,0 - 0,Dallas
18-09-2024,Real Salt Lake,3 - 2,Dallas
21-09-2024,Dallas,3 - 1,Los Angeles FC
28-09-2024,Dallas,1 - 3,Orlando City SC
02-10-2024,SJ Earthquakes,3 - 2,Dallas
05-10-2024,Portland Timbers,0 - 0,Dallas
19-10-2024,Dallas,2 - 1,Sporting KC
24-02-2024,Houston Dynamo,1 - 1,Sporting KC
02-03-2024,Houston Dynamo,1 - 2,New York RB
16-03-2024,Houston Dynamo,1 - 0,Portland Timbers
23-03-2024,Colorado Rapids,0 - 1,Houston Dynamo
30-03-2024,Houston Dynamo,2 - 1,SJ Earthquakes
06-04-2024,Chicago Fire,2 - 1,Houston Dynamo
13-04-2024,Minnesota United,1 - 2,Houston Dynamo
20-04-2024,Houston Dynamo,0 - 1,Austin
27-04-2024,Dallas,2 - 0,Houston Dynamo
04-05-2024,Houston Dynamo,0 - 0,Saint Louis City
11-05-2024,Sporting KC,1 - 2,Houston Dynamo
15-05-2024,Austin,1 - 0,Houston Dynamo
18-05-2024,Houston Dynamo,1 - 1,Dallas
25-05-2024,LA Galaxy,2 - 1,Houston Dynamo
29-05-2024,Houston Dynamo,3 - 1,Colorado Rapids
01-06-2024,Portland Timbers,2 - 2,Houston Dynamo
14-06-2024,Atlanta United,2 - 2,Houston Dynamo
19-06-2024,Houston Dynamo,2 - 2,Seattle Sounders FC
21-06-2024,DC United,1 - 4,Houston Dynamo
29-06-2024,Houston Dynamo,1 - 0,Charlotte
03-07-2024,Real Salt Lake,3 - 2,Houston Dynamo
13-07-2024,Houston Dynamo,1 - 1,Minnesota United
17-07-2024,SJ Earthquakes,0 - 1,Houston Dynamo
20-07-2024,Vancouver Whitecaps,3 - 4,Houston Dynamo
24-08-2024,Houston Dynamo,0 - 1,Toronto
31-08-2024,Los Angeles FC,0 - 2,Houston Dynamo
07-09-2024,Houston Dynamo,0 - 0,Los Angeles FC
14-09-2024,Houston Dynamo,4 - 1,Real Salt Lake
18-09-2024,Houston Dynamo,1 - 1,Vancouver Whitecaps
21-09-2024,Austin,0 - 1,Houston Dynamo
28-09-2024,Seattle Sounders FC,1 - 0,Houston Dynamo
02-10-2024,Houston Dynamo,2 - 1,New England
05-10-2024,Saint Louis City,3 - 0,Houston Dynamo
19-10-2024,Houston Dynamo,2 - 1,LA Galaxy
28-10-2024,Seattle Sounders FC,0 - 0,Houston Dynamo
02-11-2024,Houston Dynamo,1 - 1,Seattle Sounders FC
25-02-2024,LA Galaxy,1 - 1,Club Internacional de Fútbol Miami
02-03-2024,SJ Earthquakes,1 - 3,LA Galaxy
09-03-2024,Nashville SC (MLS),2 - 2,LA Galaxy
16-03-2024,LA Galaxy,3 - 3,Saint Louis City
23-03-2024,Sporting KC,2 - 3,LA Galaxy
30-03-2024,LA Galaxy,1 - 0,Seattle Sounders FC
05-04-2024,Los Angeles FC,2 - 1,LA Galaxy
13-04-2024,Vancouver Whitecaps,1 - 3,LA Galaxy
